date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:02	11628/11628	---M--	200	added ('OK')	image/jpeg	etag:%224064033-2d6c-537751d126780%22	http://acktemp.com/logos/beverage.jpg	C:/My%20Web%20Sites/clone/acktemp.com/logos/beverage.jpg	(from http://acktemp.com/manufacturers.php)
16:44:02	10274/10274	---M--	200	added ('OK')	image/jpeg	etag:%22406404b-2822-537751f563d00%22	http://acktemp.com/logos/subzero.jpg	C:/My%20Web%20Sites/clone/acktemp.com/logos/subzero.jpg	(from http://acktemp.com/manufacturers.php)
16:44:02	241840/241840	---M--	200	added ('OK')	image/jpeg	etag:%22408003c-3b0b0-537751b57e640%22	http://acktemp.com/img/before_after.jpg	C:/My%20Web%20Sites/clone/acktemp.com/img/before_after.jpg	(from http://acktemp.com/tuneups.php)
16:44:03	7671/7671	---M--	200	added ('OK')	image/jpeg	etag:%224064043-1df7-537751d402e40%22	http://acktemp.com/logos/hobart.jpg	C:/My%20Web%20Sites/clone/acktemp.com/logos/hobart.jpg	(from http://acktemp.com/manufacturers.php)
16:44:03	5694/5694	---M--	200	added ('OK')	image/jpeg	etag:%224064016-163e-537751f657f40%22	http://acktemp.com/logos/true.jpg	C:/My%20Web%20Sites/clone/acktemp.com/logos/true.jpg	(from http://acktemp.com/manufacturers.php)
16:44:04	10671/10671	---M--	200	added ('OK')	image/jpeg	etag:%22406403e-29af-537751f657f40%22	http://acktemp.com/logos/traulsen.jpg	C:/My%20Web%20Sites/clone/acktemp.com/logos/traulsen.jpg	(from http://acktemp.com/manufacturers.php)
16:44:05	6927/6927	---M--	200	added ('OK')	image/png	etag:%22406401e-1b0f-537751f287640%22	http://acktemp.com/logos/kohler.png	C:/My%20Web%20Sites/clone/acktemp.com/logos/kohler.png	(from http://acktemp.com/manufacturers.php)
16:44:05	9600/9600	---M--	200	added ('OK')	image/jpeg	etag:%224064036-2580-537751f37b880%22	http://acktemp.com/logos/randell.jpg	C:/My%20Web%20Sites/clone/acktemp.com/logos/randell.jpg	(from http://acktemp.com/manufacturers.php)
16:44:05	6549/6549	---M--	200	added ('OK')	image/gif	etag:%224064027-1995-537751d21a9c0%22	http://acktemp.com/logos/chicagofaucets.gif	C:/My%20Web%20Sites/clone/acktemp.com/logos/chicagofaucets.gif	(from http://acktemp.com/manufacturers.php)
16:44:07	9075/9075	---M--	200	added ('OK')	image/png	etag:%224064025-2373-537751d032540%22	http://acktemp.com/logos/americanstandard.png	C:/My%20Web%20Sites/clone/acktemp.com/logos/americanstandard.png	(from http://acktemp.com/manufacturers.php)
16:44:07	10177/10177	---M--	200	added ('OK')	image/gif	etag:%22406403b-27c1-537751e9f2200%22	http://acktemp.com/logos/htp.gif	C:/My%20Web%20Sites/clone/acktemp.com/logos/htp.gif	(from http://acktemp.com/manufacturers.php)
16:44:08	18567/18567	---M--	200	added ('OK')	image/png	etag:%224064026-4887-537751d126780%22	http://acktemp.com/logos/aosmith.png	C:/My%20Web%20Sites/clone/acktemp.com/logos/aosmith.png	(from http://acktemp.com/manufacturers.php)
16:44:08	9686/9686	---M-Z	200	added ('OK')	text/css	etag:%2240642a8-25d6-5377518f58c40-gzip%22	http://acktemp.com/FlipClock-master/FlipClock-master/compiled/flipclock.css	C:/My%20Web%20Sites/clone/acktemp.com/FlipClock-master/FlipClock-master/compiled/flipclock.css	(from http://acktemp.com/24-hour-service.php)
16:44:08	12095/12095	---M--	200	added ('OK')	image/png	etag:%22406401d-2f3f-537751f287640%22	http://acktemp.com/logos/moen.png	C:/My%20Web%20Sites/clone/acktemp.com/logos/moen.png	(from http://acktemp.com/manufacturers.php)
16:44:09	10437/10437	---M--	200	added ('OK')	image/gif	etag:%224064021-28c5-537751d402e40%22	http://acktemp.com/logos/grohe.gif	C:/My%20Web%20Sites/clone/acktemp.com/logos/grohe.gif	(from http://acktemp.com/manufacturers.php)
16:44:09	1052/1052	---M--	200	added ('OK')	image/png	etag:%224080047-41c-537751bb373c0%22	http://acktemp.com/img/icon-24hours.png	C:/My%20Web%20Sites/clone/acktemp.com/img/icon-24hours.png	(from http://acktemp.com/24-hour-service.php)
16:44:11	55566/55566	---M-Z	200	added ('OK')	text/javascript	etag:%2240642c9-d90e-537751fb1ca80-gzip%22	http://acktemp.com/flipclock.js	C:/My%20Web%20Sites/clone/acktemp.com/flipclock.js	(from http://acktemp.com/24-hour-service.php)
16:44:11	903/903	---M--	200	added ('OK')	image/png	etag:%224080016-387-537751bc2b600%22	http://acktemp.com/img/icon-humidifier.png	C:/My%20Web%20Sites/clone/acktemp.com/img/icon-humidifier.png	(from http://acktemp.com/humidifiers.php)
16:44:14	12374/12374	---M--	200	added ('OK')	image/png	etag:%22408000e-3056-537751ba43180%22	http://acktemp.com/img/humidity.png	C:/My%20Web%20Sites/clone/acktemp.com/img/humidity.png	(from http://acktemp.com/humidifiers.php)
16:44:14	692/692	---M--	200	added ('OK')	image/png	etag:%22408001e-2b4-537751bb373c0%22	http://acktemp.com/img/icon-commercial.png	C:/My%20Web%20Sites/clone/acktemp.com/img/icon-commercial.png	(from http://acktemp.com/commercial.php)
16:44:20	1322/1322	---M--	200	added ('OK')	image/png	etag:%22408001b-52a-537751bd1f840%22	http://acktemp.com/img/icon-hvac.png	C:/My%20Web%20Sites/clone/acktemp.com/img/icon-hvac.png	(from http://acktemp.com/commercial-hvac.php)
16:44:22	93100/93100	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/clone/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from http://acktemp.com/24-hour-service.php)
16:44:24	93916/93916	---M--	200	added ('OK')	image/png	etag:%224080027-16edc-537751c1e4380%22	http://acktemp.com/img/Maintenance-Man.png	C:/My%20Web%20Sites/clone/acktemp.com/img/Maintenance-Man.png	(from http://acktemp.com/preventative-maintenance.php)
